Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
smsp__pipe_fma_cycles_active                                                # of cycles where fma pipe was active                                                               
smsp__warps_issue_stalled_lg_throttle                                       cumulative # of warps waiting for a free entry in the LSU instruction queue                         
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld                   # of bytes requested for global loads                                                               
sm__inst_executed_pipe_cbu_pred_on_any                                      # of warp instructions executed by cbu pipe with at least 1 thread predicated on                    
sm__inst_executed_pipe_ipa                                                  # of warp instructions executed by ipa pipe                                                         
lts__t_sectors_srcunit_tex_op_red_lookup_hit                                # of LTS sectors from unit TEX for reductions that hit                                              
l1tex__t_set_conflicts_pipe_tex_mem_texture_op_tex                          # of extra cycles spent on set conflicts for TEX instructions                                       
smsp__inst_executed_op_texture                                              # of warp instructions executed: texture                                                            
idc__requests_lookup_hit                                                    # of IDC requests that hit                                                                          
lts__t_requests_aperture_device_op_atom                                     # of LTS requests accessing device memory (vidmem) for all atomics                                  
lts__t_bytes_equiv_l1sectormiss_pipe_tex                                    # of bytes requested for TEX pipe                                                                   
smsp__inst_executed_op_shared_atom                                          # of warp instructions executed: ATOMS.*                                                            
smsp__sass_inst_executed_op_global_atom                                     # of warp instructions executed: ATOM, ATOMG, RED                                                   
l1tex__t_sectors_pipe_lsu_mem_global_op_st                                  # of sectors requested for global stores                                                            
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read                           # of LTS sectors from unit L1 accessing system memory (sysmem) for reads                            
lts__t_requests_srcunit_l1_op_write_lookup_miss                             # of LTS requests from unit L1 for writes that missed                                               
lts__t_requests_aperture_device_op_membar                                   # of LTS requests accessing device memory (vidmem) for memory barriers                              
lts__t_sectors_srcunit_tex_op_read                                          # of LTS sectors from unit TEX for reads                                                            
smsp__cycles_elapsed                                                        # of cycles elapsed on SMSP                                                                         
lts__t_requests_aperture_sysmem                                             # of LTS requests accessing system memory (sysmem)                                                  
sm__pipe_alu_cycles_active                                                  # of cycles where alu pipe was active                                                               
lts__t_sectors_op_atom_lookup_hit                                           # of LTS sectors for all atomics that hit                                                           
lts__t_sectors_op_membar_lookup_miss                                        # of LTS sectors for memory barriers that missed                                                    
dram__bytes_read                                                            # of bytes read from DRAM                                                                           
lts__t_sectors_aperture_peer_op_membar_lookup_miss                          # of LTS sectors accessing peer memory (peermem) for memory barriers that missed                    
lts__t_requests_op_membar                                                   # of LTS requests for memory barriers                                                               
sm__ctas_launched                                                           # of CTAs launched                                                                                  
lts__t_requests_srcunit_l1_aperture_device_lookup_hit                       # of LTS requests from unit L1 accessing device memory (vidmem) that hit                            
lts__t_requests_srcunit_l1_op_atom                                          # of LTS requests from unit L1 for all atomics                                                      
fe__output_ops_type_bundle_cmd_go_idle                                      # of GO_IDLE bundles sent to GR from FE                                                             
